         352011 function calls (346452 primitive calls) in 9.502 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      356    0.001    0.000    0.006    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\lines.py:607(axes)
       16    0.000    0.000    0.006    0.000 C:\Program Files\Python37\lib\site-packages\PIL\ImageFont.py:125(__init__)
     1280    0.006    0.000    0.006    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\numeric.py:2592(geterr)
      320    0.006    0.000    0.006    0.000 {built-in method builtins.sum}
      320    0.000    0.000    0.006    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:733(<listcomp>)
      196    0.001    0.000    0.006    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\lines.py:1149(set_markerfacecolor)
       16    0.006    0.000    0.006    0.000 {built-in method PIL._imagingft.getfont}
     4441    0.005    0.000    0.006    0.000 {built-in method _abc._abc_instancecheck}
       72    0.001    0.000    0.006    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:1866(add_image)
      264    0.001    0.000    0.006    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:819(from_extents)
       72    0.000    0.000    0.006    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:891(update_from_data_xy)
      320    0.001    0.000    0.006    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:336(xmin)
        8    0.000    0.000    0.006    0.001 C:\Program Files\Python37\lib\site-packages\PIL\Image.py:2623(_open_core)
      788    0.003    0.000    0.006    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\cbook\__init__.py:958(get_siblings)
      160    0.005    0.000    0.006    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\cbook\__init__.py:1646(normalize_kwargs)
      496    0.003    0.000    0.005    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\shape_base.py:11(atleast_1d)
        8    0.000    0.000    0.005    0.001 C:\Program Files\Python37\lib\site-packages\PIL\JpegImagePlugin.py:778(jpeg_factory)
     1740    0.002    0.000    0.005    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\__init__.py:1424(is_interactive)
        8    0.000    0.000    0.005    0.001 C:\Program Files\Python37\lib\site-packages\PIL\ImageFile.py:77(__init__)
      714    0.002    0.000    0.005    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:2354(__init__)
1951/1457    0.005    0.000    0.005    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:134(_invalidate_internal)
      640    0.002    0.000    0.005    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\cbook\__init__.py:1368(_check_1d)
      360    0.001    0.000    0.005    0.000 {method 'view' of 'numpy.ndarray' objects}
       32    0.000    0.000    0.005    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\ticker.py:2527(__init__)
        8    0.001    0.000    0.005    0.001 C:\Program Files\Python37\lib\site-packages\PIL\JpegImagePlugin.py:305(_open)
       16    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:882(_find_spec)
      144    0.005    0.000    0.005    0.000 {built-in method numpy.core.multiarray.empty_like}
       32    0.000    0.000    0.005    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\ticker.py:1821(__init__)
       52    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      170    0.001    0.000    0.005    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:2027(scale)
        4    0.000    0.000    0.005    0.001 C:\Program Files\Python37\lib\site-packages\matplotlib\axis.py:701(__init__)
       64    0.000    0.000    0.005    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\ticker.py:1897(set_params)
